Designator,Mid X,Mid Y,Layer,Rotation
C3,57.93,32.93,Bottom,45.0
C4,138.42,52.14,Bottom,0.0
C5,103.31,58.74,Bottom,315.0
C7,94.78,49.82,Bottom,90.0
C8,132.23, 9.54,Bottom,0.0
C9,120.96,27.22,Bottom,180.0
C10,101.33,42.83,Bottom,45.0
C11,120.75,21.36,Bottom,180.0
C12,17.26, 6.80,Bottom,270.0
C13,18.41,28.40,Bottom,270.0
C14,43.06,84.17,Bottom,270.0
C15,17.08,84.01,Bottom,90.0
C16,34.18,10.29,Bottom,90.0
C17,61.29,41.44,Bottom,45.0
C18,67.71,36.46,Bottom,90.0
C19,129.32,15.31,Bottom,0.0
C20,29.73,82.02,Bottom,45.0
C21,109.55,49.93,Bottom,90.0
C22,32.53,55.06,Bottom,270.0
C23,82.11,19.43,Bottom,270.0
C24,50.59,40.58,Bottom,45.0
C25,32.42,39.31,Bottom,90.0
C26,21.98,77.28,Bottom,45.0
C27,67.71,47.00,Bottom,270.0
C28,54.33,36.74,Bottom,225.0
C30,32.16,75.05,Bottom,45.0
C31,30.03,72.51,Bottom,180.0
C32,30.02,97.40,Bottom,180.0
C33,17.91,14.51,Bottom,270.0
C34,80.80,44.24,Bottom,90.0
C35,18.04,21.53,Bottom,270.0
C36,55.05,50.01,Bottom,270.0
C37,32.34,46.03,Bottom,270.0
C38,82.03,32.92,Bottom,90.0
C39,124.52,15.15,Bottom,180.0
C40,129.33, 3.87,Bottom,0.0
C41,124.55, 3.88,Bottom,0.0
C42,120.53,54.00,Bottom,45.0
C43,114.27,21.51,Bottom,0.0
C44,120.78,32.91,Bottom,180.0
C45,115.84,33.00,Bottom,180.0
C46,113.86,41.93,Bottom,315.0
C47,108.52,59.68,Bottom,270.0
C48,122.69,49.99,Bottom,90.0
C49,107.19,37.20,Bottom,45.0
C50,23.72,93.12,Bottom,135.0
C51,78.54,17.06,Bottom,315.0
C52,23.90,29.71,Bottom,90.0
C53,17.55,38.66,Bottom,90.0
C54,146.97,71.02,Bottom,90.0
C55,45.69,28.76,Bottom,225.0
C56,66.52,50.82,Bottom,0.0
C57,61.37,50.92,Bottom,0.0
C58,82.31,25.53,Bottom,90.0
C59,49.89,49.99,Bottom,90.0
C60,67.62,41.73,Bottom,270.0
C61,45.54,34.18,Bottom,45.0
C62,114.62,58.01,Bottom,225.0
C63,139.98,58.61,Bottom,270.0
C64,66.58,14.70,Bottom,0.0
C65,70.34,14.67,Bottom,0.0
C66,74.41,14.65,Bottom,0.0
C67,49.87,14.62,Bottom,90.0
C68,32.34,32.93,Bottom,90.0
C69,32.24,29.16,Bottom,90.0
C70,31.67,24.59,Bottom,90.0
C71,44.90,15.29,Bottom,90.0
C72,55.02,14.64,Bottom,90.0
C73,46.25,48.88,Bottom,225.0
C74,44.93,42.46,Bottom,270.0
C75,143.08, 4.21,Bottom,270.0
C76,134.01,21.71,Bottom,90.0
C77,50.92,29.03,Bottom,45.0
C78,65.22,29.23,Bottom,270.0
C79,32.38,50.62,Bottom,90.0
C81,135.64,47.28,Bottom,180.0
C82,133.41,50.19,Bottom,270.0
C84,80.90,13.77,Bottom,0.0
R1,113.67,72.38,Bottom,0.0
R2,112.26,55.80,Bottom,45.0
R3,45.14, 4.35,Bottom,45.0
RN1,89.48,48.50,Bottom,270.0
RN4,89.19,24.88,Bottom,90.0
RN5,127.98,54.35,Bottom,180.0
RN6,110.57, 3.72,Bottom,180.0
RN7,115.11, 7.73,Bottom,180.0
RN8,111.15,11.16,Bottom,180.0
RN9,111.16,15.19,Bottom,180.0
RN10,107.62,18.90,Bottom,135.0
RN11,104.48,22.56,Bottom,135.0
RN12,99.23,24.15,Bottom,90.0
RN13,94.90,23.81,Bottom,90.0
T1,39.95, 6.07,Bottom,270.0
